,ID,Text,dominant_topic,confidence
0,1,"google on saturday honoured the renowned indian mathematician and physicist satyendra nath bose with a doodle on june   bose sent his quantum formulations to albert einstein who immediately recognised it as a significant discovery his theoretical paper became one of the most important findings in quantum theory born in  bose was awarded the padma vibhushan in 

aishwarya awasthi   am on short byon",News,0.007283093849166364
1,2,"india has reported   cases  recoveries in the last  hours according to the ministry of health and family welfare this comes a day after the country saw   cases active cases in india stand at  while the death toll has risen to  according to the latest data

ankush verma   am on short byon",Sports,0.039415155970976445
2,3,"sheryl sandberg recently stepped down as metas coo after  years at the company according to a report sheryl had been talking to people about how she felt burned out and that she increasingly felt like a punching bag for the companys problems she sees herself as someone who has been targeted said a person who worked with her

ridham gambhir   pm on short byon",News,0.3399385837747908
3,4,"union health secretary rajesh bhushan wrote to maharashtras additional chief secretary dr pradeep vyas to take preemptive action to control the spread of  in the state he has asked the state to follow test track treat vaccination and  appropriate behaviour strategy the weekly covid cases rose in  districts including mumbai mumbai suburban pune thane raigad and palghar

swati dubey   pm on short byon",Sports,0.07019662047074393
4,5,"no other species can send life to mars humanity cant let them down musk

the worlds richest person elon musk on sunday tweeted humanity is lifes steward as no other species can transport life to mars the spacex ceo said that humanity cant let down the other species he also revealed that his plan is to build over  starship rockets to transport life to mars basically very modern noahs arks musk added",Entertainment,0.3091417813536729
5,7,"us president joe biden when asked about tesla ceo elon musks comment about having a super bad feeling about the economy said lots of luck on his trip to the moon biden also commented on musks plans to cut about  of teslas workforce and said while elon musk is talking about that ford is increasing their investment overwhelmingly

hiral goyal   pm on short byon",Technology,0.24369044358912625
6,8,"a  woman allegedly killed her fourmonthold daughter and twoyearold son for crying incessantly and later burnt their bodies at a field in a village in maharashtras nanded district police said police arrested the accused along with her mother and brother who helped her dispose the childrens bodies an officer said the killings took place two days in a row

shreyasi banerjee   pm on short byon",Sports,0.07033026442442658
7,9,"rehoboth beach del june  reuters  us president joe biden compared tesla tslao unfavorably to ford fn on friday while sarcastically wishing chief executive elon musk lots of luck on his trip to the moon after the billionaire expressed reservations about the economy

musk wrote in an email to executives that he has a super bad feeling about the us economy and needed to cut about  of jobs at the electric carmaker reuters reported earlier on friday read more

asked by reuters about musks comments biden suggested maybe the issue was with tesla

register now for free unlimited access to reuterscom register

while elon musk is talking about that ford is increasing their investment overwhelmingly biden said ford is increasing investment and building new electric vehicles six thousand new employees union employees i might add in the midwest read more

so you know lots of luck on his trip to the moon he added

musk replied on twitter thanks mr president with a link referencing nasas april  award of a  billion contract to musks spacex to build a spacecraft to bring astronauts to the moon

it is not the first salty exchange between the  commanderinchief who admits to an occasional irish temper and south africaborn musk  who became the worlds wealthiest man as a serial entrepreneur but has turned his attention to us political debates and a twitter takeover

biden has made electric vehicles evs the centerpiece of a plan to make the united states a manufacturing powerhouse compete with china and thwart climate change but he has lavished far more attention on musks unionized competitors in detroit read more

musk has frequently fired off harsh tweets directed at the president complaining about the lack of acknowledgement and has been critical of bidens unionfirst subsidyheavy approach to building the ev market

us president joe biden delivers remarks on the monthly us jobs report at the rehoboth beach convention center in rehoboth beach delaware us june   reuterstom brenner

musk said last month he would no longer vote for members of bidens democratic party because they have become the party of division  hate

he promised to restore republican former president donald trumps access to twittertwtrn after acquiring the social media platform

tesla delivered results beyond wall street forecasts in april after raising prices to stave off inflation pressures stalking the auto industry read more

shares fell more than  on friday after reuters published the report on musks email as investors worried the ceos remarks signaled problems ahead on tuesday musk said workers not coming into the office for  hours per week would be let go

before bidens comment on musk the president had just given a speech of his own touting higherthanexpected us job growth in may and rebuffing criticism of his handling of inflation which is perched near  highs read more

but he warned that job growth could slow in the coming months as the federal reserve raises interest rates to cool inflation

we arent likely to see the kind of blockbuster job reports month after month like we had over this past year he said but thats a good thing thats a sign of a healthy economy

jpmorgan chase  co jpmn chairman jamie dimon said this week that you gotta brace yourself for a coming economic hurricane read more

other executives and analysts however have said the strong us labor market consumer savings and robust demand could help the economy achieve a soft landing to more sustainable growth at lower levels after a speedy recovery from the  pandemic

register now for free unlimited access to reuterscom register

reporting by andrea shalal and trevor hunnicutt editing by chizu nomiyama heather timmons nick zieminski and marguerita choy

our standards the thomson reuters trust principles",Technology,1.0
8,9,"rehoboth beach del june  reuters  us president joe biden compared tesla tslao unfavorably to ford fn on friday while sarcastically wishing chief executive elon musk lots of luck on his trip to the moon after the billionaire expressed reservations about the economy

musk wrote in an email to executives that he has a super bad feeling about the us economy and needed to cut about  of jobs at the electric carmaker reuters reported earlier on friday read more

asked by reuters about musks comments biden suggested maybe the issue was with tesla

register now for free unlimited access to reuterscom register

while elon musk is talking about that ford is increasing their investment overwhelmingly biden said ford is increasing investment and building new electric vehicles six thousand new employees union employees i might add in the midwest read more

so you know lots of luck on his trip to the moon he added

musk replied on twitter thanks mr president with a link referencing nasas april  award of a  billion contract to musks spacex to build a spacecraft to bring astronauts to the moon

it is not the first salty exchange between the  commanderinchief who admits to an occasional irish temper and south africaborn musk  who became the worlds wealthiest man as a serial entrepreneur but has turned his attention to us political debates and a twitter takeover

biden has made electric vehicles evs the centerpiece of a plan to make the united states a manufacturing powerhouse compete with china and thwart climate change but he has lavished far more attention on musks unionized competitors in detroit read more

musk has frequently fired off harsh tweets directed at the president complaining about the lack of acknowledgement and has been critical of bidens unionfirst subsidyheavy approach to building the ev market

us president joe biden delivers remarks on the monthly us jobs report at the rehoboth beach convention center in rehoboth beach delaware us june   reuterstom brenner

musk said last month he would no longer vote for members of bidens democratic party because they have become the party of division  hate

he promised to restore republican former president donald trumps access to twittertwtrn after acquiring the social media platform

tesla delivered results beyond wall street forecasts in april after raising prices to stave off inflation pressures stalking the auto industry read more

shares fell more than  on friday after reuters published the report on musks email as investors worried the ceos remarks signaled problems ahead on tuesday musk said workers not coming into the office for  hours per week would be let go

before bidens comment on musk the president had just given a speech of his own touting higherthanexpected us job growth in may and rebuffing criticism of his handling of inflation which is perched near  highs read more

but he warned that job growth could slow in the coming months as the federal reserve raises interest rates to cool inflation

we arent likely to see the kind of blockbuster job reports month after month like we had over this past year he said but thats a good thing thats a sign of a healthy economy

jpmorgan chase  co jpmn chairman jamie dimon said this week that you gotta brace yourself for a coming economic hurricane read more

other executives and analysts however have said the strong us labor market consumer savings and robust demand could help the economy achieve a soft landing to more sustainable growth at lower levels after a speedy recovery from the  pandemic

register now for free unlimited access to reuterscom register

reporting by andrea shalal and trevor hunnicutt editing by chizu nomiyama heather timmons nick zieminski and marguerita choy

our standards the thomson reuters trust principles",Technology,1.0
9,9,"rehoboth beach del june  reuters  us president joe biden compared tesla tslao unfavorably to ford fn on friday while sarcastically wishing chief executive elon musk lots of luck on his trip to the moon after the billionaire expressed reservations about the economy

musk wrote in an email to executives that he has a super bad feeling about the us economy and needed to cut about  of jobs at the electric carmaker reuters reported earlier on friday read more

asked by reuters about musks comments biden suggested maybe the issue was with tesla

register now for free unlimited access to reuterscom register

while elon musk is talking about that ford is increasing their investment overwhelmingly biden said ford is increasing investment and building new electric vehicles six thousand new employees union employees i might add in the midwest read more

so you know lots of luck on his trip to the moon he added

musk replied on twitter thanks mr president with a link referencing nasas april  award of a  billion contract to musks spacex to build a spacecraft to bring astronauts to the moon

it is not the first salty exchange between the  commanderinchief who admits to an occasional irish temper and south africaborn musk  who became the worlds wealthiest man as a serial entrepreneur but has turned his attention to us political debates and a twitter takeover

biden has made electric vehicles evs the centerpiece of a plan to make the united states a manufacturing powerhouse compete with china and thwart climate change but he has lavished far more attention on musks unionized competitors in detroit read more

musk has frequently fired off harsh tweets directed at the president complaining about the lack of acknowledgement and has been critical of bidens unionfirst subsidyheavy approach to building the ev market

us president joe biden delivers remarks on the monthly us jobs report at the rehoboth beach convention center in rehoboth beach delaware us june   reuterstom brenner

musk said last month he would no longer vote for members of bidens democratic party because they have become the party of division  hate

he promised to restore republican former president donald trumps access to twittertwtrn after acquiring the social media platform

tesla delivered results beyond wall street forecasts in april after raising prices to stave off inflation pressures stalking the auto industry read more

shares fell more than  on friday after reuters published the report on musks email as investors worried the ceos remarks signaled problems ahead on tuesday musk said workers not coming into the office for  hours per week would be let go

before bidens comment on musk the president had just given a speech of his own touting higherthanexpected us job growth in may and rebuffing criticism of his handling of inflation which is perched near  highs read more

but he warned that job growth could slow in the coming months as the federal reserve raises interest rates to cool inflation

we arent likely to see the kind of blockbuster job reports month after month like we had over this past year he said but thats a good thing thats a sign of a healthy economy

jpmorgan chase  co jpmn chairman jamie dimon said this week that you gotta brace yourself for a coming economic hurricane read more

other executives and analysts however have said the strong us labor market consumer savings and robust demand could help the economy achieve a soft landing to more sustainable growth at lower levels after a speedy recovery from the  pandemic

register now for free unlimited access to reuterscom register

reporting by andrea shalal and trevor hunnicutt editing by chizu nomiyama heather timmons nick zieminski and marguerita choy

our standards the thomson reuters trust principles",Technology,1.0
